timestamp,current_draw,total_draw
1720009205.726944,216.8,43.885281000000006
1720009206.2685554,227.1,43.885343999999996
1720009206.8029454,227.1,43.885343999999996
1720009207.3372762,209.3,43.885402
1720009207.871947,209.3,43.885402
1720009208.4101064,186.6,43.885453
1720009208.9477084,186.6,43.885453
1720009209.4857244,183.8,43.885504
1720009210.0252368,183.8,43.885504
1720009211.1433425,207.5,43.885613
1720009211.7075858,207.5,43.885613
1720009212.2440734,211.9,43.885672
1720009212.783374,211.9,43.885672
1720009213.3325415,203.5,43.885726999999996
1720009213.8705862,203.5,43.885726999999996
