timestamp,current_draw,total_draw
1720009510.8302104,328.9,43.91141399999999
1720009511.367909,263.9,43.911488
1720009511.9084628,263.9,43.911488
1720009512.4497008,238.7,43.911555
1720009512.9863315,238.7,43.911555
1720009513.5350397,203.3,43.911609
1720009514.0729377,192.8,43.911663999999995
1720009514.615468,192.8,43.911663999999995
1720009515.3679042,196.9,43.911719
1720009516.6523688,214.8,43.911777
1720009517.264389,212.7,43.911836
1720009517.803516,212.7,43.911836
1720009518.343776,218.3,43.911898
1720009519.040659,218.3,43.911898
1720009519.62446,215.3,43.911957
1720009520.2086508,239.9,43.912023
1720009520.813177,239.9,43.912023
1720009521.4208195,299.8,43.912105000000004
1720009522.0183911,299.8,43.912105000000004
1720009522.6337488,305.4,43.912191
1720009523.2343743,311.8,43.912277
1720009523.8292713,311.8,43.912277
1720009524.4334128,310.7,43.912363
1720009525.051471,308.3,43.912449
1720009525.6784837,308.3,43.912449
1720009526.2793908,305.4,43.912535000000005
1720009526.8904004,305.4,43.912535000000005
1720009527.431294,309.0,43.912621
1720009527.974261,309.0,43.912621
1720009528.5215542,317.4,43.912711
1720009529.0600057,317.4,43.912801
1720009529.6027198,317.4,43.912801
1720009530.1442962,315.6,43.912887000000005
1720009530.6838057,315.6,43.912887000000005
1720009531.2216103,316.1,43.912973
1720009531.7596066,316.1,43.912973
1720009532.3021383,312.9,43.913059000000004
1720009532.8389852,312.9,43.913059000000004
1720009533.377574,311.1,43.913145
1720009533.9151094,311.1,43.913145
1720009534.4553149,310.0,43.913230000000006
1720009534.9904552,310.0,43.913230000000006
1720009535.528887,333.0,43.913324
1720009536.0647645,345.4,43.913422
1720009536.6108398,345.4,43.913422
1720009537.150585,347.0,43.91352
1720009537.6941686,347.0,43.91352
1720009538.2331622,345.4,43.913613
1720009538.7731912,345.4,43.913613
1720009539.316405,347.9,43.913711000000006
1720009539.855802,347.9,43.913711000000006
1720009540.391611,346.6,43.913809
1720009540.9316266,346.6,43.913809
1720009541.5056288,346.1,43.913906000000004
1720009542.096665,309.3,43.913992
1720009542.7027416,309.3,43.913992
1720009543.310523,301.7,43.914074
1720009543.919476,301.7,43.914074
1720009544.5292892,303.3,43.91416
1720009545.1544118,299.9,43.914242
1720009545.7692735,299.9,43.914242
1720009546.3627715,303.8,43.914328000000005
1720009546.966855,303.8,43.914328000000005
1720009547.533566,301.5,43.914410000000004
1720009548.0765755,288.3,43.914488
